wall,wɒ:l,5,"n. 墙, 墙壁, 垣, 内壁, 分界物, 屏障\na. 墙的\nvt. 给...建墙, 禁闭, 用墙围住\n[计] 背景墙"
sides,saidz,5,n. 边；面数；台词表（side的复数形式）
everywhere,'evrihwєә,5,"adv. 各处, 到处"
tools,tu:lz,5,"n. 工具, 工具菜单；工具箱（tool的复数形式）"
enterprise,'entәpraiz,5,"n. 企业, 事业心, 进取心, 干事业\n[计] 企业"
generation,.dʒenә'reiʃәn,5,"n. 一代, 一世, 产生\n[医] 生殖, 世代"
death,deθ,5,n. 死亡\n[医] 死亡
trap,træp,5,"n. 圈套, 陷阱, 诡计, 存水弯\nvi. 设圈套, 设陷阱\nvt. 诱捕, 诱骗, 抓住, 使受限制\n[计] 俘获; 陷井"
four,fɒ:,5,"num. 四, 四个\n[机] 四冲程循环"
fresh,freʃ,5,"a. 新鲜的, 新奇的, 另外的, 淡的, 精神饱满的, 冒失的\nadv. 最新地, 刚刚\nn. 开始, 泛滥"
especially,i'speʃәli,5,"adv. 尤其, 特别, 格外"
wonder,'wʌndә,5,"n. 奇迹, 惊奇, 惊愕\nvt. 惊奇, 想知道\nvi. 惊讶, 怀疑"
root,ru:t,5,"n. 根, 根本, 根源, 基础, 底部\nvt. 使扎根, 使固定, 根除, 肃清, 搜出, 用鼻拱\nvi. 生根, 固定, 源于, 用鼻拱土, 寻找, 捧场, 支持"
philanthropy,fi'lænθrәpi,5,"n. 慈善, 仁慈, 博爱, 慈善事业, 慈善机构(团体)"
used,'ju:st,5,"a. 使用过的, 二手的, 习惯的"
show,ʃәu,5,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相\nvt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领\nvi. 露面, 显现, 演出\n[计] 显示"
box,bɒks,5,"n. 盒子, 箱, 方框, 一巴掌\nvt. 装...入盒中, 装箱, 打耳光\nvi. 拳击\n[计] 方框"
acres,'eɪkəs,5,n. 英亩( acre的复数形式 )
hat,hæt,5,n. 帽子\nvt. 给...戴帽子
respects,,5,"n. 敬意, 问候"
kept,kept,5,keep的过去式和过去分词
sort,sɒ:t,5,"n. 种类, 方式, 品质, 态度, 举止\nvt. 分类, 排序, 挑选\nvi. 交往, 协调\n[计] 排序; DOS外部命令:从标准输入设备接收数据, 整个数据输入完后\n对它以行为单位进行排序, 然后在标准输出设备上输出"
told,tәuld,5,tell的过去式和过去分词
seed,si:d,5,"n. 种子, 籽, 萌芽, 子孙, 精液\nvt. 在...播种, 催...发育, 脱...籽\nvi. 结实, 播种"
distant,'distәnt,5,"a. 远的, 疏远的\n[经] 远期的"
indispensable,.indis'pensәbl,5,"n. 不可缺少之物\na. 不可缺少的, 责无旁贷的, 绝对必要的"
unnecessary,.ʌn'nesәsәri,5,a. 不必要的
equal,'i:kwәl,5,"n. 对手, 匹敌, 同辈\na. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的\nvt. 等于, 比得上\n[计] 等长度编码"
field,fi:ld,5,"n. 领域, 田地, 场地, 战场, 场, 域\nvt. 使...晒在场上, 使上场\na. 田间的, 野生的, 野外的, 田赛的\n[计] 域, 字段"
opinion,ә'pinjәn,5,"n. 意见, 评价, 主张\n[经] 意见"
together,tә'geðә,5,"adv. 一起, 共同, 彼此"
home,hәum,5,"n. 家, 避难所, 故乡\na. 家庭的, 国内的, 打中目标的\nadv. 在家, 在本国, 打中目标地\n[计] 返回始位"
molasses,mә'læsiz,4,n. 糖蜜\n[化] 糖蜜; 废糖蜜
wholly,'hәuli,4,"adv. 完全地, 整个, 统统, 全部\n[法] 完全地, 统统地"
matter,'mætә,4,"n. 事件, 物质, 原因, 素材, 实体, 重要\nvi. 有关系"
name,neim,4,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名\nvt. 命名, 称呼, 任命, 提名, 列举\na. 姓名的, 据以取名的\n[计] 名称, 文件名, 姓名"
splendid,'spendid,4,"a. 光亮的, 了不起的, 灿烂的, 壮丽的, 显著的, 杰出的"
just,dʒʌst,4,"a. 正直的, 合理的, 正确的, 应得的\nadv. 刚刚, 正好, 仅仅"
worked,wә:kt,4,work的过去式和过去分词
earning,'ә:niŋ,4,n. 收入（earn的现在分词）
pursuits,pəˈsju:ts,4,n. 追赶( pursuit的复数形式 ); 工作; 消遣; 嗜好
around,ә'raund,4,"prep. 包围, 在...周围, 四处\nadv. 兜着圈子, 在附近, 到处"
cat,kæt,4,"n. 猫, 恶妇\nvi. 呕吐\n计算机辅助教育, 计算机辅助测试, 计算机辅助翻译, 计算机辅助排版\n[计] 计算机辅助教学, 计算机辅助翻译, 计算机辅助排字, 计算机辅助测试"
friend,frend,4,"n. 朋友, 支持者, 赞助者\n[法] 朋友, 友人, 赞助者"
square,skwєә,4,"n. 正方形, 街区, 广场, 平方, 直角尺\na. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的\nadv. 成直角地, 对准地\nvi. 一致, 符合, 结清\nvt. 使成方形, 使平方自乘, 调正, 结清, 使一致"
adapted,,4,a. 适合的
considering,kәn'sidәriŋ,4,prep. 就...而论\nconj. 考虑到
chinese,,4,
beginning,bi'giniŋ,4,n. 开始
covered,'kʌvәd,4,"a. 隐蔽着的, 掩藏着的, 有屋顶的\n[建] 涂抹了的, 覆盖了的, 掩盖了的"
load,lәud,4,"n. 负荷, 担子, 重担, 装载量, 负载, 工作量, 加载\nvt. 装载, 装填, 使担负\nvi. 装货, 上客, 装料\n[计] 加载, 装入程序"
turn,tә:n,4,"n. 转弯, 转动, 旋转, 翻转, 一圈, 顺次, 改动, 变化, 性格, 特色, 形状, 转折\nvt. 使旋转, 转弯, 转动, 使转向, 驱赶, 阻挡, 兑换, 改写, 使作对, 绕过, 使流通\nvi. 转动, 转弯, 转向, 翻转, 回转, 改变, 转身, 变成, 变质, 晕眩, 易脱手"
preferred,pri'fә:d,4,a. 首选的\n[计] 首选的
beans,,4,n. 豆子；豆类；黄豆（bean的复数）
dollar,'dɒlә,4,"n. 美元, 元(加、澳等国货币单位)\n[经] 纯经济的, 美元, 元"
hole,hәul,4,"n. 孔, 洞, 穴, 漏洞\nvt. 挖洞, 掘坑\nvi. 进洞, 凿洞"
toil,tɒil,4,"n. 辛苦, 苦工, 网, 罗网, 圈套\nvi. 苦干, 跋涉"
comes,'kɔmis,4,v. 来自；从…来（come的三单形式）
sufficient,sә'fiʃәnt,4,"a. 充分的, 足够的\n[法] 充分的, 足够的"
coats,,4,n. 外套（coat的复数）
carefully,'kєәfuli,4,"adv. 小心地, 谨慎地"
object,'ɒbdʒekt,4,"n. 物体, 目标, 目的, 对象, 宾语, 客体\nvi. 反对, 抱反感\nvt. 提出...来反对\n[计] 对象"
states,,4,
universal,.ju:ni'vә:sl,4,"a. 全世界的, 普遍的, 宇宙的, 通用的\nn. 一般概念"
shanty,'ʃænti,4,n. 棚屋
sand,sænd,4,"n. 沙, 沙子, 沙滩, 光阴, 生涯\nvt. 撒沙, 以沙掩盖"
purpose,'pә:pәs,4,"n. 目的, 意向, 决心, 用途, 效果, 论题\nvt. 意欲, 企图, 计划"
receive,ri'si:v,4,"vt. 收到, 接到, 得到, 接待, 迎接, 承受\nvi. 收到, 会客\n[计] 接收"
similar,'similә,4,"a. 相似的, 类似的\nn. 相似的东西"
send,send,4,"vt. 发送, 使进入, 寄, 派遣, 发射, 使陷于\nvi. 寄信, 派人, 播送\nn. (船的)上升运动\n[计] 发送"
poorer,,4,可怜的\n贫困的（poor 的比较级）
students,,4,n. （尤指大专院校的）学生（student的复数）
offer,'ɒfә,4,"n. 给予(物), 出价, 提议, 意图, 报价\nvt. 提供, 出价, 奉献, 试图, 使出现, 演出\nvi. 出现, 献祭, 提议, 求婚"
outgoes,autˈɡəuz,4,"v. 走得比…远或快, 优于( outgo的第三人称单数 )"
looking,'lukiŋ,4,a. 有…相貌的；有…样子的
solely,'sәulli,4,"adv. 仅仅, 单独地"
broad,brɒ:d,4,"a. 宽广的, 辽阔的, 广大的, 显著的\nadv. 宽阔地\nn. 宽阔部分"
chiefly,'tʃi:fli,4,adv. 主要地
etc,,4,"及其他, 等等"
palace,'pælis,4,"n. 宫, 宫殿, 华丽大厦"
require,ri'kwaiә,4,"vt. 需要, 命令, 要求\n[法] 需要, 要求, 命令"
borrowed,'bɒrәud,4,"a. 借来的, 伪造的, 虚构的"
formerly,'fɒ:mәli,4,"adv. 从前, 以前"
system,'sistәm,4,"n. 系统, 体系, 制度, 方式, 秩序, 分类原则\n[计] 系统; 体制; 体系"
trees,,4,n. 树木；乔木；树状结构（tree的复数）
architectural,.ɑ:ki'tektʃәrәl,4,"a. 有关建筑的, 建筑学的"
appeared,,4,v. 出现；公开露面；发表（appeare的过去式形式）
cottage,'kɒtidʒ,4,"n. 小屋, 茅舍"
income,'inkʌm,4,"n. 收入, 收益, 流入\n[经] 收益"
shift,ʃift,4,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位\nvt. 替换, 转移, 改变, 推卸, 变速\nvi. 转换, 移动, 转变, 推托, 变速\n[计] DOS内部命令:该命令可将批处理参数向左移动一个位置"
shingles,'ʃiŋ^lz,4,n. 带状疱疹\n[医] 带状疱疹
broken,'brәukәn,4,"a. 坏掉的, 打破的, 断掉的\nbreak的过去分词"
plow,plau,4,"n. 犁\nv. 犁, 耕"
ancient,'einʃәnt,4,"a. 古代的, 古老的, 年老的, 旧的"
wants,,4,"n. 需求, 欲望, 必需品\n[经] 消费者的欲望; 希望, 要, 想要"
appears,,4,v. 出现；呈现；看上去好像（appear的三单形式）
using,,4,[计] 使用
admit,әd'mit,4,"vt. 承认, 接受, 允许进入, 容许\nvi. 开向, 容许, 承认"
agreeable,ә'griәbl,4,"a. 令人愉快的, 同意的\n[医] 佳适的"
hours,,4,n. 小时（hour的复数形式）
trifling,'traifliŋ,4,"a. 没什么价值的, 微不足道的, 轻浮的"
arts,ɑ:ts,4,n. 文科
thinking,'θiŋkiŋ,4,"n. 思考, 思想\na. 思考的, 有理性的"
neither,'naiðә,4,"adv. 皆不, 两个都不\na. (两者)都不的\npron. 两者都不\nconj. 既非, 既不"
tomorrow,tә'mɒ:rәu,4,"n. 明天, 未来\nadv. 明天, 未来地"
accident,'æksidәnt,4,"n. 意外事件, 机遇, 事故, 次要方面\n[化] 意外事故; 事故"
met,met,4,meet的过去式和过去分词\n[化] 甲硫氨酸; 蛋氨酸
trying,'traiiŋ,4,"a. 难受的, 难堪的\n[法] 裁决, 审判, 审理; 使人痛苦的, 难堪的, 难处的"
holes,,4,n. 小孔；破洞（hole的复数）
carry,'kæri,4,"n. 进位, 射程, 运载\nvt. 携带, 运送, 支持, 传送, 包含\nvi. 被携带, 能达到\n[计] 进位; 进位数"
-----,,4,
leg,leg,4,"n. 腿, 假腿, 路程\nvi. 走, 跑"
words,,4,n. 言语；话语；字（word的复数）
talk,tɒ:k,4,"n. 谈话, 交谈, 会谈, 讲话, 演讲, 空谈, 谣言, 方言, 语言\nvi. 讲话, 演讲, 说话, 谈话, 交流, 闲聊, 说闲话\nvt. 讲, 说, 讨论, 谈论\n[计] 对话类, 聊天"
acquainted,ә'kweintid,4,a. 知晓的；有知识的；熟识的
dwellings,d'welɪŋz,4,"n. 住处, 处所( dwelling的复数形式 )"
getting,'^etiŋ,4,"n. 采煤, 采掘；获得"
concerned,kәn'sә:nd,4,"a. 关心的, 有关的, 参与的, 担心的"
thoughts,,4,n. 思想；思维；想法（thought的复数）
duty,'dju:ti,4,"n. 责任, 关税, 职务, 尊敬\n[化] 职责"
40,,4," forty"
gross,grәus,4,"n. 总数, 总量\na. 总共的, 未打折扣的, 恶劣的, 粗野的\nvt. 总共收入"
asked,,4,n. 卖方要价
gradually,'grædʒuәli,4,adv. 逐渐地
exposed,ik'spәuzd,4,"a. 暴露的, 无掩蔽的, 易受攻击的"
man-,mæn,4,n. 人；男人；人类；丈夫；雇工\nvt. 操纵；给…配置人员；使增强勇气；在…就位\nn. (Man)人名；(俄)马恩；(英、葡、意、罗、捷、尼、老、缅、柬)曼；(日)万 (名)
valuable,'væljuәbl,4,"a. 有价值的, 贵重的, 宝贵的, 可估价的\n[经] 有价值的, 可估价的, 贵重的"
hire,haiә,4,"n. 租金, 租用, 雇用\nvt. 雇请, 出租\nvi. 受雇"
pecuniary,pi'kju:njәri,4,"a. 金钱的, 金钱方面的, 课罚款的\n[经] 金钱的, 应罚款的"
indeed,in'di:d,4,"adv. 的确, 实在, 真正地, 甚至"
rice,rais,4,"n. 米, 米饭, 稻\nvt. 将...压成米粒状"
private,'praivit,4,"a. 私人的, 秘密的, 私立的, 隐蔽的\nn. 士兵, 隐士, 阴部\n[计] 私人的"
faithfully,'feiθfuli,4,"adv. 忠实地, 诚心诚意地, 深信着地"
comparatively,kәm'pærәtivli,4,"adv. 比较地, 相对地"
fashion,'fæʃәn,4,"n. 流行, 风尚, 时样\nvt. 形成, 造, 作"
worn,wɒ:n,4,"a. 用旧的, 穿旧的\nwear的过去分词"
considered,kәn'sidәd,4,"a. 考虑过的, 被尊重的"
improved,im'pru:vd,4,a. 改良的
unconscious,.ʌn'kɒnʃәs,4,"a. 未意识到的, 无意识的, 无知觉的\n[医] 人事不省的, 神志丧失的; 无意识的"
follow,'fɒlәu,4,"vt. 跟随, 沿行, 遵循, 追求\nvi. 跟随, 接着\nn. 跟随, 追随"
weather,'weðә,4,"n. 天气, 气象, 处境\na. 迎风的\nvt. 使受风吹雨打, 侵蚀, 使风化, 经受住\nvi. 风化, 受侵蚀, 经受风雨"
taste,teist,4,"n. 味道, 品味, 味觉, 感受, 体验, 爱好, 审美, 少量\nvt. 尝, 察觉...的味道, 体会\nvi. 品尝, 察觉味道, 有某种味道"
view,vju:,4,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象\nvt. 看, 考虑, 视察, 查看, 估量\n[计] 视图"
effect,i'fekt,4,"n. 结果, 影响, 效果, 印象\nvt. 实行, 引起, 完成\n[计] 效果"
word,wә:d,4,"n. 话, 消息, 词, 诺言, 命令\nvt. 用言辞表达\n[计] 字"
cultivated,'kʌltiveitid,4,"a. 耕耘的, 栽植的, 有教养的"
former,'fɒ:mә,4,"a. 从前的, 前者的\nn. 起形成作用的人(或物), 模型, 样板"
devil,'devәl,4,"n. 魔鬼\nvt. 折磨, 戏弄"
fashionable,'fæʃәnәbl,4,"a. 时髦的, 上流社会的, 流行的"
cover,'kʌvә,4,"n. 盖子, 封面, 藉口\nvt. 覆盖, 掩饰, 保护, 掩护, 包括\nvi. 覆盖"
despair,di'spєә,4,"n. 绝望, 失望\nvi. 绝望"
wild,waild,4,"n. 荒野, 荒地\na. 野性的, 野蛮的, 野生的, 失控的, 任性的, 杂乱的, 轻率的, 狂热的, 疯狂的\nadv. 狂暴地, 失控地"
hardly,'hɑ:dli,4,"adv. 刚刚, 几乎不, 勉强是"
south,sauθ,4,"n. 南方, 南\na. 南的, 向南的\nadv. 在南方\nvi. 转向南方"
needed,,4,a. 需要的
deeds,di:dz,4,n. 行为( deed的复数形式 ); 行动; <律>契约; 证书
globe,glәub,4,"n. 球, 球状物, 地球仪, 天体\nv. (使)成球状"
haste,heist,4,"n. 匆忙, 急忙"
five,faiv,4,"num. 五, 五个"
accidental,.æksi'dentl,4,"a. 意外的, 偶然的, 非主要的, 附属的\nn. 临时记号, 次要方面"
advance,әd'vɑ:ns,4,"n. 前进, 进展, 行过的路程\nvi. 前进, 进展, 提高, 上涨\nvt. 使前进, 促进, 提出, 提高, 使提前, 预付\na. 前面的, 预先的"
independent,.indi'pendәnt,4,"n. 独立自主者, 无党派者\na. 独立的, 有主见的, 不须依赖的, 不受约束的"
ragged,'rægid,4,"a. 衣衫褴褛的, 参差不齐的, 不协调的, 粗糙的, 刺耳的"
honest,'ɒnist,4,"a. 诚实的, 坦直的, 可靠的"
equally,'i:kwәli,4,"adv. 相等地, 同样地, 平等地"
pains,,4,"n. 麻烦, 辛苦"
happens,ˈhæpənz,4,v. 发生( happen的第三人称单数 ); 碰巧; 产生结果; （向对方表示异议或不悦等）
independence,.indi'pendәns,4,"n. 独立, 自立, 自主\n[医] 自主性, 独立性"
near,niә,4,"a. 近的, 近亲的, 近似的\nadv. 接近, 亲近\nprep. 靠近, 近似于\nv. 接近, 走近"
west,west,4,"n. 西方, 西部\na. 西方的, 向西的\nadv. 向西, 自西方, 在西方"
mainly,'meinli,4,"adv. 主要地, 大抵"
ages,,4,abbr. 晚期糖基化终末产物（Advanced Glycation End Products）
moon,mu:n,4,"n. 月亮, 月球, 月光\nvi. 闲荡\nvt. 虚度"
traveller,'trævlә,4,n. 旅行者\n[经] 旅行商
compared,,4,"a. 比较的, 对照的（compare的过去式和过去分词）"
until,әn'til,4,"prep. 直到, 在...以前\nconj. 直到...时, 在...以前"
seasons,,4,"n. 季节, 四季"
inside,'in'said,4,"n. 内部, 内脏, 内幕\na. 内部的, 秘密的, 户内的\nadv. 在里面\nprep. 在...之内"
avoid,ә'vɒid,4,"vt. 避免, 防止, 撤消\n[法] 避免, 回避, 躲开"
merchants,'mɜ:tʃənts,4,"n. 商人( merchant的复数形式 ); （某活动的）爱好者, 热中于…的人"
outside,'aut'said,4,"n. 外面, 外表, 外界\na. 外面的, 外表的, 外界的\nadv. 外面, 外表, 外界"
distance,'distәns,4,"n. 距离, 远方, 遥远\n[计] 位距"
savages,,4,n. 残酷的人；野蛮人（savage的复数）
suppose,sә'pәuz,4,"vt. 推想, 假设, 以为, 想像, 假定\nvi. 料想"
disease,di'zi:z,4,"n. 疾病, 弊病\n[医] [疾]病"
genius,'dʒi:njәs,4,"n. 天才, 天赋, 精神, 神魔\n[医] 特征"
laborers,'læbɔ:ərz,4,"n. 体力劳动者, 工人( laborer的复数形式 ); （熟练工人的）辅助工"
ones,,4,n. 刻录软件
physical,'fizikl,4,"a. 身体的, 物质的, 自然的, 物理学的, 好色的\nn. 体格检查"
interesting,'intristiŋ,4,a. 有趣的
fingers,,4,"n. 梳状剔除器；手指头, 指头（finger复数）"
garments,,4,"n. 服装, 衣着"
00,,4,
clear,kliә,4,"a. 清楚的, 明确的, 澄清的\nadv. 清晰地\nvt. 澄清, 清除障碍\nvi. 放晴, 变清澈\nn. 空隙\n[计] 清除"
hour,auә,4,"n. 小时, 钟头, 时间, ...点钟, 课时"
burrow,'bʌrәu,4,"n. 洞穴, 藏身处\nvi. 掘洞穴, 躲藏\nvt. 掘, 打洞"
thick,θik,4,"a. 厚的, 粗壮的, 浓的, 迟钝的, 浑浊的, 多雾的, 过分的, 口齿不清的\nadv. 厚地, 密地, 浓浓地\nn. 最浓处, 最厚处, 最密集处\n[计] 暗, 粗线"
expense,ik'spens,4,"n. 费用, 代价, 开支, 损失\n[经] 费用, 开支, 将支出转为费用"
ways,weiz,4,n. 方法（way的复数）；滑路
easy,'i:zi,4,"a. 容易的, 缓缓的, 舒适的, 从容的, 宽容的, 流畅的, 随便的, 自在的, 疲软的\nadv. 容易地, 慢慢地"
wish,wiʃ,4,"n. 希望, 愿望, 祝愿, 命令, 请求\nvt. 愿, 想要, 希望, 祝愿\nvi. 希望"
taking,'teikiŋ,4,"n. 取得, 捕获, 进款\na. 迷人的, 可爱的, 会传染的"
speaking,'spi:kiŋ,4,"n. 谈话, 演说\na. 讲话的, 适于说的, 讲某种语言的"
freedom,'fri:dәm,4,"n. 自由, 坦率, 特权\n[法] 自由, 自主, 免除"
reason,'ri:zn,4,"n. 理由, 原因, 理智, 道理, 前提, 理性\nvt. 说服, 推论, 辩论\nvi. 推论, 劝说, 思考"
partial,'pɑ:ʃәl,4,"a. 部分的, 偏袒的, 偏爱的\nn. 分音"
refer,ri'fә:,4,"vt. 提交, 归诸于, 把...提交, 使求助于\nvi. 提到, 涉及, 查阅, 查询, 咨询"
cattle,kætl,4,"n. 牛, 家畜\n[法] 家畜"
inherited,in'heritid,4,a. 遗传的；继承权的；通过继承得到的
nation,'neiʃәn,4,"n. 国家, 民族\n[法] 民族, 国家"
pleasant,'pleznt,4,"a. 愉快的, 可爱的, 活泼的, 亲切的"
makes,,4,"v. 做, 制作（make的第三人称单数）"
number,'nʌmbә,4,"n. 数, 数字, 数目, 号码\nvt. 数, 计算, 共计\nvi. 计算, 报数\n[计] 数字"
twelve,twelv,4,"num. 十二, 十二个"
fail,feil,4,"vi. 失败, 缺乏, 中断, 衰退, 失灵\nvt. 忘记, 使...失望, 缺乏, 不及格\nn. 不及格"
brick,brik,4,"n. 砖块, 积木\na. 用砖做的\nvt. 用砖造, 用砖砌"
larger,,4,a. 大的；多量的
furnished,,4,"a. 家具, 有家具的"
anxiety,æŋ'zaiәti,4,"n. 焦虑, 忧虑, 令人焦虑的事\n[医] 焦虑"
sincerely,sin'siәli,4,adv. 真诚地
philosophers,fɪ'lɒsəfəz,4,n. 哲学家( philosopher的复数形式 ); 豁达的人
women,'wimin,4,pl. 女人
question,'kwestʃәn,4,"n. 问题, 询问\nv. 询问, 审问, 怀疑\n[计] 询问"
sold,sәuld,4,sell的过去式和过去分词
enterprises,,4,n. 企业（enterprise的复数）
wisest,,4,a. 聪明的；贤明的
richer,,4,a. 更富有的
trouble,'trʌbl,4,"n. 烦恼, 麻烦, 困难, 动乱, 故障\nvt. 困扰, 麻烦, 使烦恼, 折磨\nvi. 烦恼, 费心"
spent,spent,4,"a. 用尽的, 精疲力竭的\nspend的过去式和过去分词"
worthies,ˈwə:ðiz,3,n. 应得某事物( worthy的名词复数 ); 值得做某事; 可尊敬的; 有（某人或事物）的典型特征
climates,k'laɪməts,3,n. 气候( climate的复数形式 ); 气候区; 倾向; 思潮
truer,'tru:ә,3,a. 真的；确实的
excepting,ik'septiŋ,3,"prep. 除...外, 要不是, 只是"
poverty,'pɒvәti,3,"n. 贫穷, 贫困, 缺乏\n[医] 贫乏, 缺乏"
slough,slau,3,"n. 泥沼, 沼泽, 蜕下的皮, 腐肉\nvt. 使陷入泥沼, 使沉沦, 脱落, 抛弃\nvi. 在泥浆中跋涉, 蜕皮, 脱落"
elsewhere,'elshwєә,3,adv. 在别处
separate,'sepәreit,3,"n. 独立件, 抽印本\na. 分开的, 各别的, 单独的, 分隔的\nvi. 分开, 隔开, 分居\nvt. 使分离, 使分开, 区分, 使分居"
brass,bræs.brɑ:s,3,"n. 黄铜, 黄铜制品\na. 黄铜的, 铜管乐器的\nv. 镀以黄铜, 支付"
truly,'tru:li,3,"adv. 真实地, 不假"
hang,hæŋ,3,"n. 悬挂, 诀窍, 意义\nvt. 悬挂, 附着, 装饰, 垂下, 踌躇, 绞死, 使悬而未决\nvi. 悬着, 垂下, 被绞死, 悬而不决"
store,stɒ:,3,"n. 商店, 贮藏, 仓库, 备用品, 存储器\nvt. 储存, 贮藏, 供给\nvi. 贮藏\na. 贮藏的, 现成的\n[计] 存储器操作; 存储"
lot,lɒt,3,"n. 运气, 签, 抽签, 份额, 许多, 一堆\nvt. 划分\nvi. 抽签, 抓阄"
fires,,3,"n. 火灾, 点火；火力"
details,,3,n. 详细资料；细节（detail的复数）
expensive,ik'spensiv,3,"a. 贵的, 奢华的, 费用浩大的, 乱化钱的\n[经] 高价的, 昂贵的, 浪费的"
pray,prei,3,"v. 祈祷, 恳求, 请"
hero,'hiәrәu,3,"n. 英雄, 超越常人者, 男主角"
rise,raiz,3,"n. 上升, 增加, 上涨, 高地, 升高, 出现\nvi. 升起, 起身, 起立, 上升, 上涨, 增长, 高耸, 起义, 浮现\nvt. 使飞起"
horses,,3,n. 马；马匹（horse的复数形式）
occupied,,3,a. 已占用的；使用中的；无空闲的
leaving,'li:viŋ,3,n. 离开；残余；渣滓
naked,'neikid,3,"a. 裸体的, 无装饰的, 无保护的, 赤贫的\n[医] 裸露的"
wide,waid,3,"a. 宽的, 广阔的, 普遍的, 宽阔的, 广泛的, 一般的\nadv. 广阔地, 遍及各处地, 广泛地\nn. 大千世界"
difficult,'difikәlt,3,a. 困难的
presume,pri'zu:m,3,"vt. 假定, 推测, 擅自, 意味着\nvi. 擅自行动, 相信"
dozen,'dʌzn,3,"n. 打, 十二个\na. 一打的"
maintained,,3,a. 被保持的
groceries,,3,"n. 食品, 杂货"
modes,,3,n. 分辨率；方法；模式（mode的复数形式）
accounts,,3,n. 账号；会计账簿；账目（account的复数）
agriculture,'ægrikʌltʃә,3,"n. 农业\n[机] 农业, 农学"
thoroughly,'θʌrәli,3,"adv. 彻底地, 绝对地, 透彻地, 详尽地, 周到地, 完全地, 完善地, 全面地"
inches,,3,n. 英寸（inch的复数）
philanthropic,fi'lænθrәpic,3,"a. 慈善(事业)的, 博爱的, 乐善好施的\n[法] 博爱的, 仁慈的, 慈善事业的"
anticipate,æn'tisipeit,3,"vt. 预期, 占先, 加速, 提前使用\n[医] 提前出现, 先期发生"
son,sʌn,3,"n. 儿子, 女婿, 子孙\n[法] 儿子, 女婿, 养子"
change,tʃeindʒ,3,"n. 变化, 找回的零钱, 找头, 更换\nvt. 改变, 更换, 兑换"
operatives,ˈɔpərətɪvz,3,n. 工作人员( operative的复数形式 ); （尤指）体力劳动者; 密探; （尤指政府的）特工人员
cornice,'kɒ:nis,3,n. 檐口\nvt. 给...装檐口
farmers,,3,n. 农民（farmer的复数）
sent,sent,3,send的过去式和过去分词
road,rәud,3,"n. 路, 道路, 公路, 途径, 方法\n[法] 公路, 道路, 行车道"
mortal,'mɒ:tәl,3,"n. 生物, 人类\na. 不免一死的, 人类的, 临终的"
farther,'fɑ:ðә,3,"a. 更远的, 进一步的\nadv. 更远的, 此外, far的比较级"
ride,raid,3,"n. 骑马, 乘坐, 乘车, 搭便车\nvt. 骑, 乘坐, 压迫, 控制\nvi. 骑马, 乘车, 漂游"
architects,ˈɑ:kitekts,3,n. 建筑师( architect的复数形式 ); 设计师; 缔造者; 创造者
worship,'wә:ʃip,3,"n. 崇拜, 礼拜, 尊敬\nvi. 参加礼拜\nvt. 崇拜, 尊敬"
mere,miә,3,"n. 小湖, 池塘\na. 仅仅的, 只不过的"
rain,rein,3,"n. 雨, 下雨, 雨天\nvi. 下雨\nvt. 使大量落下"
cooperate,kәu'ɒpәreit,3,"vi. 合作, 协力, 配合\n[化] 合作"
accomplished,ә'kʌmpliʃt,3,"a. 完成的, 实现的, 有造诣的, 熟练的, 善社交的"
tight,tait,3,"a. 紧的, 密封的, 吝啬的, 严厉的\nadv. 紧紧地"
gate,geit,3,"n. 门, 牌楼, 大门, 通道, 闸\nvt. 装门于\n[计] 门; 栅"
received,ri'si:vd,3,"a. 被一般承认的, 公认的"
problems,,3,n. 问题；难题（problem的复数）
city,'siti,3,"n. 城市, 市\n[法] 都市, 城市, 市"
tailor,'teilә,3,"n. 裁缝, 成衣匠\nvt. 缝制, 制作, 使适应\nvi. 做裁缝"
blessing,'blesiŋ,3,n. 祝福
daily,'deili,3,"a. 每日的, 日常的\nadv. 每日地, 日常地\nn. 日报"
dinner,'dinә,3,"n. 晚餐, 正餐, 宴会"
informed,in'fɒ:md,3,a. 见多识广的
succeed,sәk'si:d,3,"vi. 成功, 继承, 继续\nvt. 继承, 接替"
telegraph,'teligrɑ:f,3,"n. 电报, 电报机\nvi. 打电报\nvt. 打电报给, 电汇, 流露, 显示出要...的样子"
costume,'kɒstju:m,3,"n. 装束, 服装"
wearing,'wєәriŋ,3,"a. 穿用的, 使疲惫的, 磨损的"
company,'kʌmpәni,3,"n. 公司, 友伴, 交往, 连队, 朋友, 一群\nvt. 陪伴\nvi. 交往"
glad,glæd,3,"a. 高兴的, 喜欢的, 情愿的"
utensils,ju:'tensɪlz,3,"n. 器具, 用具, 器皿( utensil的名词复数 ); 器物"
late,leit,3,"a. 迟的, 晚的, 已故的\nadv. 很晚, 很迟, 晚"
questions,,3,n. 问题（question的复数）
